epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
59	-0.02877633	195.86655	-19.490433	6.523162	21.720531	-33.27226	-233.0451	72.308716	-63.810516	-466.48114	1000.0	236000
60	-0.028562525	195.72314	-19.624125	6.587054	21.720531	-33.27226	-233.8952	72.2075	-63.810516	-466.48114	1000.0	240000
61	-0.028748708	194.55154	-19.609295	6.5616875	21.720531	-33.27226	-233.36882	71.993195	-63.810516	-466.48114	1000.0	244000
62	-0.027990183	192.82697	-19.704119	6.617205	21.720531	-33.644257	-233.91914	71.9753	-63.810516	-466.48114	1000.0	248000
63	-0.027932772	192.32053	-19.723438	6.6830144	21.720531	-34.570198	-233.74835	72.03796	-63.810516	-466.48114	1000.0	252000
64	-0.028426558	191.45564	-19.725023	6.764603	21.720531	-35.312923	-233.34137	72.4095	-63.810516	-466.48114	1000.0	256000
65	-0.027855892	190.38248	-19.661844	6.7996125	21.720531	-35.312923	-232.3875	72.57023	-63.810516	-466.48114	1000.0	260000
66	-0.028252214	189.05731	-19.663034	6.7943707	21.720531	-35.312923	-232.30064	72.105675	-63.810516	-466.48114	1000.0	264000
67	-0.02816227	188.41713	-19.57697	6.806042	21.720531	-35.312923	-231.26065	72.207245	-63.810516	-466.48114	1000.0	268000
68	-0.027914647	187.56949	-19.547977	6.812905	21.720531	-35.312923	-230.65051	72.58938	-63.810516	-466.48114	1000.0	272000
69	-0.028431732	186.04486	-19.633991	6.885431	21.720531	-35.462727	-231.13213	72.82915	-63.810516	-466.48114	1000.0	276000
70	-0.028595904	185.18153	-19.669615	6.926985	21.720531	-35.462727	-231.28279	73.4317	-63.810516	-466.48114	1000.0	280000
71	-0.028781192	184.12431	-19.712973	6.9068923	21.720531	-35.462727	-231.55249	73.184296	-63.810516	-466.48114	1000.0	284000
72	-0.028964289	182.93607	-19.653318	6.9173765	21.720531	-35.462727	-230.77682	73.43771	-63.810516	-466.48114	1000.0	288000
73	-0.029374743	183.73215	-19.750076	6.9340487	21.720531	-35.462727	-231.57898	73.33562	-63.810516	-466.48114	1000.0	292000
74	-0.029851869	182.47003	-19.790386	6.9425015	21.720531	-35.462727	-231.70102	72.8674	-63.810516	-466.48114	1000.0	296000
75	-0.029851886	182.38698	-19.860224	6.9720244	21.720531	-35.991215	-232.15732	72.56928	-63.810516	-466.48114	1000.0	300000
76	-0.030322993	182.252	-19.865904	6.9618464	21.720531	-35.991215	-231.89134	72.354515	-63.810516	-466.48114	1000.0	304000
77	-0.03067455	180.91495	-19.914833	6.9592404	21.720531	-35.991215	-232.1995	72.07778	-63.810516	-466.48114	1000.0	308000
78	-0.031222502	180.00656	-19.882301	6.9473042	21.720531	-35.991215	-231.6547	71.90002	-63.810516	-466.48114	1000.0	312000
79	-0.031111728	179.25758	-19.85183	6.9508533	21.720531	-35.991215	-230.99869	71.8684	-63.810516	-466.48114	1000.0	316000
80	-0.030525738	179.28433	-19.84557	6.9563746	21.720531	-35.991215	-230.8422	71.7232	-63.810516	-466.48114	1000.0	320000
81	-0.030886976	178.4868	-19.76274	6.972691	21.720531	-35.991215	-229.76031	72.206955	-63.810516	-466.48114	1000.0	324000
82	-0.0308854	177.2058	-19.744677	6.997791	21.720531	-35.991215	-229.46692	72.14496	-63.810516	-466.48114	1000.0	328000
83	-0.030434545	175.90158	-19.73387	7.0217085	21.720531	-35.991215	-229.16124	72.28331	-63.810516	-466.48114	1000.0	332000
84	-0.03026096	174.8373	-19.679926	7.0393	21.720531	-35.991215	-228.4973	72.65375	-63.810516	-466.48114	1000.0	336000
85	-0.03041258	174.01018	-19.713705	7.0890756	21.720531	-35.991215	-228.62674	72.79659	-63.810516	-466.48114	1000.0	340000
86	-0.03118826	172.98367	-19.733698	7.0808473	21.720531	-35.991215	-228.53447	72.49513	-63.810516	-466.48114	1000.0	344000
87	-0.03092643	172.39514	-19.743237	7.1070185	21.720531	-35.991215	-228.57823	72.951965	-61.14468	-466.48114	1000.0	348000
88	-0.030603575	172.01508	-19.703465	7.0980515	21.720531	-35.991215	-228.02086	72.89981	-61.14468	-466.48114	1000.0	352000
89	-0.030917693	171.80733	-19.654697	7.0927296	21.720531	-35.991215	-227.38263	72.81707	-61.14468	-466.48114	1000.0	356000
90	-0.031609893	171.52441	-19.694134	7.0882955	21.720531	-35.991215	-227.74097	72.54683	-61.14468	-466.48114	1000.0	360000
91	-0.031173037	170.9875	-19.675108	7.0779467	21.720531	-35.991215	-227.35135	72.342316	-61.14468	-466.48114	1000.0	364000
92	-0.030821124	170.44357	-19.735846	7.0952787	21.720531	-35.991215	-227.75142	72.05732	-61.14468	-466.48114	1000.0	368000
93	-0.030914485	169.78387	-19.739494	7.078459	21.720531	-35.991215	-227.6402	71.86569	-61.14468	-466.48114	1000.0	372000
94	-0.030953215	169.00366	-19.74021	7.0858717	21.720531	-35.991215	-227.55319	71.65678	-61.14468	-466.48114	1000.0	376000
95	-0.030681666	168.04582	-19.775877	7.082646	21.720531	-35.991215	-227.71205	71.48484	-61.14468	-466.48114	1000.0	380000
96	-0.030819392	167.4146	-19.766693	7.0960073	21.720531	-35.991215	-227.47221	71.4691	-61.14468	-466.48114	1000.0	384000
97	-0.031306148	166.49529	-19.769419	7.1057687	21.720531	-35.991215	-227.37262	71.419876	-61.14468	-466.48114	1000.0	388000
98	-0.031571746	166.03279	-19.78742	7.0961905	21.720531	-35.991215	-227.41563	71.13483	-61.14468	-466.48114	1000.0	392000
99	-0.03129901	165.24194	-19.774532	7.087528	21.720531	-35.991215	-227.09868	71.07355	-61.14468	-466.48114	1000.0	396000
100	-0.031884458	164.73207	-19.782324	7.09852	21.720531	-35.991215	-226.96426	70.94499	-61.14468	-466.48114	1000.0	400000
101	-0.03193204	164.4338	-19.762163	7.081194	21.720531	-35.991215	-226.63159	70.72113	-61.14468	-466.48114	1000.0	404000
102	-0.031927533	164.04247	-19.792538	7.088826	21.720531	-35.991215	-226.78224	70.49851	-61.14468	-466.48114	1000.0	408000
103	-0.03246971	163.92783	-19.803753	7.0786476	21.720531	-35.991215	-226.7367	70.28078	-61.14468	-466.48114	1000.0	412000
