epoch	pi-loss	q-loss	average-q1-values	std-q1-values	max-q1-values	min-q1-values	average-q2-values	std-q2-values	max-q2-values	min-q2-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	entropy-coeff	total-env-interacts	entropy-coeff-loss
60	-370.01938	27.959543	370.0333	206.05656	746.1494	-360.4712	370.03308	206.05629	744.40063	-333.52982	5968.4546	2400.0479	8780.4375	-368.16916	1000.0	6049.9873	2407.018	8958.894	-776.60815	1000.0	0.13909544	240000	-0.20831124
61	-373.6165	28.367908	373.63934	206.84526	746.1494	-360.4712	373.63913	206.84499	744.40063	-372.30237	6011.1543	2403.1848	8780.4375	-368.16916	1000.0	6079.2974	2409.26	8958.894	-776.60815	1000.0	0.14031139	244000	-0.20478514
62	-377.13956	28.832764	377.1723	207.59467	746.1494	-405.8186	377.17212	207.59447	744.40063	-422.12076	6049.049	2402.0608	8780.4375	-368.16916	1000.0	6117.79	2408.6465	8958.894	-776.60815	1000.0	0.14159207	248000	-0.20161355
63	-380.59302	29.205652	380.63428	208.30139	746.1494	-435.5792	380.6342	208.30106	744.40063	-440.37585	6087.6987	2402.4075	8781.142	-368.16916	1000.0	6152.944	2405.4822	8958.894	-776.60815	1000.0	0.14276248	252000	-0.19830188
64	-383.97385	29.573666	384.02365	208.96677	747.3011	-435.5792	384.02356	208.96655	747.6986	-440.37585	6128.744	2405.7542	8853.482	-368.16916	1000.0	6184.236	2399.7056	8958.894	-776.60815	1000.0	0.14390783	256000	-0.19523297
65	-387.3031	29.901155	387.36124	209.59761	754.0338	-435.5792	387.3612	209.59744	753.19824	-440.37585	6169.247	2409.1848	8993.583	-368.16916	1000.0	6226.4185	2405.0325	9122.605	-776.60815	1000.0	0.14509763	260000	-0.19208816
66	-390.56958	30.234056	390.6364	210.20105	757.5638	-435.5792	390.63635	210.20068	756.3469	-440.37585	6206.0303	2409.2327	8993.583	-368.16916	1000.0	6265.2847	2407.2952	9122.605	-776.60815	1000.0	0.14627321	264000	-0.18920897
67	-393.78394	30.548927	393.8586	210.78459	759.80005	-435.5792	393.8586	210.78433	760.1704	-440.37585	6243.2656	2410.275	8993.583	-368.16916	1000.0	6294.441	2401.0347	9122.605	-776.60815	1000.0	0.14736684	268000	-0.18630555
68	-396.94833	30.885849	397.0317	211.35316	763.12146	-439.42993	397.03168	211.35315	760.1704	-440.37585	6278.207	2409.5715	8993.583	-368.16916	1000.0	6328.9653	2400.1082	9122.605	-776.60815	1000.0	0.14849418	272000	-0.1835114
69	-400.0636	31.219862	400.15552	211.90164	763.12146	-486.16318	400.15546	211.90121	762.9867	-490.53284	6318.453	2415.1514	9282.791	-368.16916	1000.0	6366.5986	2402.813	9176.336	-776.60815	1000.0	0.14963181	276000	-0.1808407
70	-403.13428	31.513933	403.23425	212.43242	768.9125	-486.16318	403.2341	212.43193	768.29474	-518.1958	6354.6284	2416.6353	9282.791	-368.16916	1000.0	6402.693	2404.3923	9176.336	-776.60815	1000.0	0.15069816	280000	-0.17823175
71	-406.15707	31.790401	406.2654	212.94917	771.3526	-575.5023	406.26532	212.94891	769.69507	-589.323	6390.6445	2418.4028	9282.791	-368.16916	1000.0	6439.847	2407.5989	9218.016	-776.60815	1000.0	0.15179373	284000	-0.17565256
