epoch	pi-loss	q-loss	average-q-values	std-q-values	max-q-values	min-q-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	total-env-interacts
42	-321.82532	13.042747	319.9533	193.01682	692.9297	-5.6197715	3412.086	1916.1506	6008.1367	-622.34875	1000.0	3587.6655	1947.9801	6230.8936	-765.48145	1000.0	168000
43	-327.5773	13.248442	325.6959	194.86887	698.1995	-5.6197715	3466.921	1927.5809	6070.0005	-622.34875	1000.0	3637.6545	1961.544	6395.6895	-765.48145	1000.0	172000
44	-333.23846	13.486771	331.34723	196.70343	713.0379	-5.6197715	3517.9268	1935.108	6070.0005	-622.34875	1000.0	3696.2573	1978.0221	6628.2603	-765.48145	1000.0	176000
45	-338.83752	13.709859	336.937	198.52745	714.7069	-5.6197715	3573.8188	1949.245	6229.7036	-622.34875	1000.0	3751.583	1991.2494	6660.4575	-765.48145	1000.0	180000
46	-344.36136	13.938805	342.45114	200.34906	735.1922	-5.6197715	3632.989	1968.3999	6396.0146	-622.34875	1000.0	3813.8916	2013.7208	6884.3516	-765.48145	1000.0	184000
47	-349.83923	14.170756	347.9183	202.17366	745.09503	-5.6197715	3688.2778	1983.4248	6594.139	-622.34875	1000.0	3864.6052	2023.4059	6884.3516	-765.48145	1000.0	188000
48	-355.27216	14.41783	353.33994	203.98763	755.8077	-5.6197715	3739.4656	1994.0115	6594.139	-622.34875	1000.0	3919.249	2042.5391	7196.899	-765.48145	1000.0	192000
49	-360.66638	14.667175	358.7232	205.79381	761.88025	-5.6197715	3787.3127	2003.6804	6669.337	-622.34875	1000.0	3972.1218	2055.5198	7196.899	-765.48145	1000.0	196000
50	-365.99698	14.917227	364.04312	207.58192	772.122	-5.6197715	3838.6462	2015.9257	6669.337	-622.34875	1000.0	4032.8887	2078.9878	7201.2056	-765.48145	1000.0	200000
51	-371.28024	15.184764	369.31564	209.35196	782.9442	-5.6197715	3886.4126	2024.614	6669.337	-622.34875	1000.0	4082.3354	2088.1123	7201.2056	-765.48145	1000.0	204000
52	-376.4983	15.424733	374.5245	211.08606	791.28235	-5.6197715	3938.5576	2039.447	6846.7734	-622.34875	1000.0	4132.5796	2098.9656	7201.2056	-765.48145	1000.0	208000
53	-381.64734	15.662112	379.66394	212.78535	806.3128	-5.6197715	3989.9946	2053.9836	6846.7734	-622.34875	1000.0	4182.2056	2113.2068	7247.727	-765.48145	1000.0	212000
54	-386.74384	15.907064	384.75098	214.46216	819.8858	-5.6197715	4040.7205	2068.1873	6941.9507	-622.34875	1000.0	4226.5776	2118.617	7247.727	-765.48145	1000.0	216000
55	-391.78088	16.152565	389.77808	216.10716	824.35547	-5.6197715	4094.1262	2086.5906	7110.782	-622.34875	1000.0	4278.9126	2134.8093	7468.7373	-765.48145	1000.0	220000
56	-396.77066	16.371471	394.75793	217.73128	835.5424	-5.6197715	4139.573	2095.212	7110.782	-622.34875	1000.0	4332.7974	2153.1462	7478.758	-765.48145	1000.0	224000
57	-401.70215	16.599077	399.67914	219.33406	841.3515	-5.6197715	4186.9497	2106.8289	7110.782	-622.34875	1000.0	4379.9624	2163.368	7478.758	-765.48145	1000.0	228000
58	-406.59763	16.821081	404.56442	220.93428	856.04724	-5.6197715	4237.4756	2123.1926	7231.3965	-622.34875	1000.0	4430.5293	2178.611	7831.317	-765.48145	1000.0	232000
59	-411.45593	17.052921	409.41306	222.53271	858.2836	-5.6197715	4285.015	2136.2336	7250.599	-622.34875	1000.0	4478.5684	2191.3564	7831.317	-765.48145	1000.0	236000
60	-416.27133	17.276445	414.21844	224.11263	863.73413	-5.6197715	4333.089	2150.5422	7477.8164	-622.34875	1000.0	4528.5566	2207.2522	7831.317	-765.48145	1000.0	240000
61	-421.05542	17.506912	418.99216	225.69539	870.9569	-5.6197715	4381.038	2164.9482	7477.8164	-622.34875	1000.0	4583.126	2229.5842	8005.918	-765.48145	1000.0	244000
62	-425.79068	17.737394	423.71716	227.2649	891.605	-5.6197715	4411.528	2176.8127	7619.4365	-622.34875	1000.0	4634.698	2248.0125	8030.452	-765.48145	1000.0	248000
63	-430.4933	17.961744	428.4095	228.84203	891.891	-5.6197715	4460.376	2193.4727	7619.4365	-622.34875	1000.0	4683.809	2263.485	8030.452	-765.48145	1000.0	252000
64	-435.14597	18.20077	433.05246	230.42265	901.30005	-5.6197715	4481.4434	2195.1692	7619.4365	-622.34875	1000.0	4734.374	2281.7354	8332.845	-765.48145	1000.0	256000
65	-439.75916	18.458021	437.65485	232.00954	921.3728	-5.6197715	4529.2217	2211.52	7717.2817	-622.34875	1000.0	4783.912	2298.6807	8342.938	-765.48145	1000.0	260000
66	-444.35297	18.730345	442.2379	233.6281	927.1814	-5.6197715	4570.9897	2221.0999	7771.7993	-622.34875	1000.0	4812.1304	2308.7246	8342.938	-765.48145	1000.0	264000
67	-448.91992	19.010054	446.79404	235.263	938.1858	-5.6197715	4615.27	2233.8464	7934.981	-622.34875	1000.0	4861.565	2326.748	8483.222	-765.48145	1000.0	268000
68	-453.46234	19.293938	451.32538	236.90402	946.56805	-5.6197715	4654.8027	2241.5364	7934.981	-622.34875	1000.0	4911.689	2345.874	8561.967	-765.48145	1000.0	272000
69	-457.96573	19.585556	455.81842	238.54	950.30817	-5.6197715	4697.9087	2253.8047	7934.981	-622.34875	1000.0	4957.994	2359.9873	8561.967	-765.48145	1000.0	276000
