epoch	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	total-env-interacts
90	-173.13605	45.597794	-106.32551	-225.99837	1000.0	3.7246532	168.72607	-14.847483	2.3255498	-8.642263	-19.954067	360000
91	-81.47254	50.331146	1.7581034	-133.63971	1000.0	6.8915586	216.11272	-6.5284376	1.3451148	-1.4224916	-13.033019	364000
92	-186.29752	73.11709	-101.984276	-298.23087	1000.0	-15.277909	291.70636	-16.822699	2.4572892	-8.307778	-22.053267	368000
93	-207.84306	51.276432	-154.41205	-292.2833	1000.0	-3.2224636	158.71371	-20.209517	2.1476805	-13.460352	-23.096733	372000
94	-141.64977	20.70517	-118.67571	-174.9482	1000.0	8.902168	322.472	-14.984213	1.9619405	-8.940251	-19.20073	376000
95	-185.94572	85.36445	-57.476955	-295.8718	1000.0	-3.4954503	254.13823	-17.879776	3.1248825	-7.7992764	-22.28047	380000
96	-214.01758	66.74433	-106.403465	-283.4151	1000.0	-2.327924	259.2721	-20.095535	2.2271476	-11.105393	-23.072075	384000
97	-196.61745	61.33763	-119.01954	-261.39282	1000.0	2.3100471	200.53877	-18.550562	1.8304021	-12.208629	-21.133854	388000
98	-152.7455	84.62247	-24.629646	-261.79153	1000.0	4.1075554	176.77818	-14.828142	3.7455904	-1.2462895	-21.149055	392000
99	-151.86221	55.73428	-72.45082	-225.09235	1000.0	0.79465675	216.35959	-14.230242	3.7052956	-6.903417	-20.090145	396000
100	-164.85248	26.05424	-140.932	-207.83685	1000.0	-1.5154947	284.12537	-13.931967	1.6549294	-9.647822	-18.634386	400000
101	-170.79892	121.31677	32.538876	-263.97894	1000.0	-2.0964231	167.29822	-16.01386	7.3255663	2.8208797	-22.940733	404000
102	-191.03793	49.841877	-119.67116	-254.5743	1000.0	-8.338594	297.23087	-17.553942	2.248562	-10.425312	-22.670307	408000
103	-91.5766	88.95148	59.4639	-169.19281	1000.0	13.869776	265.54886	-9.09681	3.7591615	0.58991563	-16.631546	412000
104	-43.5511	56.06194	5.9152126	-133.91023	1000.0	4.11066	255.58096	-5.5806036	3.2436798	0.52934647	-16.07837	416000
105	-124.66466	123.86863	84.25213	-228.4885	1000.0	-8.54716	280.06183	-11.236502	4.536545	5.7442265	-18.377008	420000
106	-165.89908	72.99789	-46.512943	-244.24806	1000.0	-3.3280227	213.63776	-15.395681	3.2166233	-5.8787565	-20.676157	424000
107	-137.8249	63.02396	-53.582825	-207.21364	1000.0	2.892931	175.52203	-13.020093	2.8093379	-4.832535	-18.32257	428000
