epoch	mu-loss	q-loss	average-q-values	std-q-values	max-q-values	min-q-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	total-env-interacts
125	-938.5744	57.808228	935.7166	152.30914	1148.9651	87.880035	9105.334	121.348	9249.458	8954.449	1000.0	8807.404	547.79553	9581.164	7294.102	1000.0	500000
126	-941.4445	56.393375	938.62274	151.96779	1156.3002	68.42058	9123.701	196.40805	9310.463	8840.689	1000.0	9403.883	244.69872	9759.197	8979.122	1000.0	504000
127	-942.6226	56.6109	939.8193	155.03127	1154.6361	43.838844	9323.19	121.25171	9529.328	9223.803	1000.0	9219.119	110.00823	9407.303	8983.503	1000.0	508000
128	-945.24414	56.465706	942.47107	154.12642	1157.1061	58.65663	8814.083	434.5332	9407.847	8340.004	1000.0	8809.895	162.80516	9162.656	8568.427	1000.0	512000
129	-946.3493	57.10731	943.5952	153.61426	1157.2932	37.5601	9117.793	71.546135	9237.645	9048.172	1000.0	9774.324	240.97342	10063.06	9335.002	1000.0	516000
130	-947.3967	55.619812	944.5927	155.26637	1157.7499	61.48192	8551.859	990.0667	9425.601	6875.7646	1000.0	9896.414	183.64793	10268.86	9602.208	1000.0	520000
131	-949.3481	56.791508	946.56647	156.22014	1162.6381	35.088005	9167.704	275.90463	9466.391	8718.092	1000.0	9464.876	341.99963	9847.253	8554.958	1000.0	524000
132	-950.4615	57.93358	947.72675	159.85385	1162.7443	-3.7024803	9077.647	52.1731	9153.185	9026.756	1000.0	9164.433	130.95186	9361.07	8918.077	1000.0	528000
133	-952.0786	58.841415	949.31104	162.04913	1165.8354	-72.28844	9175.124	180.72133	9448.857	8980.537	1000.0	9227.623	863.1237	10050.761	6891.308	1000.0	532000
134	-954.44684	58.288773	951.63983	161.90828	1175.6272	-32.149372	9318.719	189.37471	9557.524	9107.915	1000.0	9643.718	178.78502	9861.483	9329.634	1000.0	536000
135	-956.19415	59.8058	953.4361	161.36478	1173.5568	-75.39121	9268.227	199.94936	9500.05	9027.105	1000.0	9616.381	319.18686	10140.269	8849.532	1000.0	540000
136	-957.731	58.298172	954.94104	161.51031	1175.3862	-17.076397	9393.648	143.3876	9587.434	9205.3955	1000.0	8985.627	497.79315	9615.695	7949.5547	1000.0	544000
137	-960.8714	59.760258	958.0559	159.45398	1176.3257	-49.004654	9152.313	132.83687	9325.345	8951.73	1000.0	9055.854	1558.3336	9912.104	4430.2217	1000.0	548000
138	-963.67	59.53622	960.86115	158.5902	1178.1162	-40.732346	8816.773	608.8912	9463.809	7820.127	1000.0	9795.159	240.59323	10055.844	9290.042	1000.0	552000
139	-965.29987	58.868404	962.59296	158.69325	1176.239	-39.50845	9155.085	180.72552	9383.673	8880.914	1000.0	9866.791	188.44963	10065.521	9468.461	1000.0	556000
140	-966.42914	57.903305	963.72504	159.39323	1178.018	-39.107334	9155.944	338.46518	9450.137	8617.008	1000.0	9892.576	167.2036	10139.158	9658.477	1000.0	560000
141	-967.4071	60.46913	964.6798	160.05801	1184.9087	-26.904778	9198.808	179.46925	9488.256	9004.164	1000.0	10068.115	192.97244	10341.539	9754.389	1000.0	564000
142	-970.3844	60.750328	967.567	159.44351	1182.2113	-67.559586	9322.625	87.255104	9439.632	9227.348	1000.0	9326.024	204.4265	9788.903	8993.848	1000.0	568000
143	-972.3275	61.068684	969.5712	159.44923	1186.1892	-350.46088	9383.598	270.97824	9723.703	8987.156	1000.0	9848.0205	254.65059	10202.988	9484.053	1000.0	572000
144	-974.16376	60.32307	971.374	157.70874	1188.3472	-91.37692	9272.006	129.86066	9488.293	9145.159	1000.0	9731.549	269.38	10091.316	9271.254	1000.0	576000
145	-976.267	58.156414	973.5389	157.85846	1186.4008	-129.3344	9354.16	45.63267	9431.363	9312.778	1000.0	8736.783	2515.7693	9978.1875	1222.6366	1000.0	580000
146	-978.3252	58.960804	975.6252	159.56194	1198.6649	-128.51637	9364.989	198.94022	9601.817	9122.726	1000.0	9374.062	1666.3451	10323.419	4408.6997	1000.0	584000
147	-979.618	59.475883	976.89056	162.1966	1193.1035	-105.11284	9272.266	178.72908	9454.514	9042.123	1000.0	9945.779	152.24066	10179.342	9676.375	1000.0	588000
148	-982.0829	61.37063	979.33514	160.50003	1195.0504	-117.07512	9391.667	253.34833	9732.333	9025.645	1000.0	9226.435	1540.692	10080.685	4650.6807	1000.0	592000
149	-983.1662	60.18141	980.4989	160.34918	1199.5051	-148.89615	9286.945	94.84247	9411.289	9150.987	1000.0	10117.869	140.6853	10334.472	9926.336	1000.0	596000
150	-984.1938	59.669655	981.47314	160.94695	1199.1476	-115.350006	9395.333	59.37496	9489.059	9330.428	1000.0	9906.705	181.3737	10178.791	9568.92	1000.0	600000
